dateTime,parameter,value,code
2026-05-15T11:30:00Z,turb_NTU,1.3,P
2026-05-15T11:30:00Z,X_72255,0.3,P
2026-05-15T11:40:00Z,temp_C,7.9,P
2026-05-15T11:40:00Z,flow_cfs,177,P
2026-05-15T11:40:00Z,gauge_ht_ft,8.66,P
2026-05-15T11:40:00Z,specCond_uscm,56,P
2026-05-15T11:40:00Z,pH,7.7,P
2026-05-15T11:40:00Z,chla_rfu,1.48,P
2026-05-15T11:40:00Z,turb_NTU,1.1,P
2026-05-15T11:40:00Z,X_72255,0.32,P
2026-05-15T11:50:00Z,temp_C,7.9,P
2026-05-15T11:50:00Z,flow_cfs,172,P
2026-05-15T11:50:00Z,gauge_ht_ft,8.66,P
2026-05-15T11:50:00Z,specCond_uscm,56,P
2026-05-15T11:50:00Z,pH,7.7,P
2026-05-15T11:50:00Z,chla_rfu,1.21,P
2026-05-15T11:50:00Z,turb_NTU,1.2,P
2026-05-15T11:50:00Z,X_72255,0.31,P
2026-05-15T12:00:00Z,temp_C,7.9,P
2026-05-15T12:00:00Z,flow_cfs,172,P
2026-05-15T12:00:00Z,gauge_ht_ft,8.66,P
2026-05-15T12:00:00Z,specCond_uscm,56,P
2026-05-15T12:00:00Z,pH,7.7,P
2026-05-15T12:00:00Z,chla_rfu,4.87,P
2026-05-15T12:00:00Z,turb_NTU,1.2,P
2026-05-15T12:00:00Z,X_72255,0.31,P
2026-05-15T12:10:00Z,temp_C,7.8,P
2026-05-15T12:10:00Z,flow_cfs,177,P
2026-05-15T12:10:00Z,gauge_ht_ft,8.65,P
2026-05-15T12:10:00Z,specCond_uscm,56,P
2026-05-15T12:10:00Z,pH,7.7,P
2026-05-15T12:10:00Z,chla_rfu,1.31,P
2026-05-15T12:10:00Z,turb_NTU,1.2,P
2026-05-15T12:10:00Z,X_72255,0.32,P
2026-05-15T12:20:00Z,temp_C,7.8,P
2026-05-15T12:20:00Z,flow_cfs,177,P
2026-05-15T12:20:00Z,gauge_ht_ft,8.65,P
2026-05-15T12:20:00Z,specCond_uscm,56,P
2026-05-15T12:20:00Z,pH,7.7,P
2026-05-15T12:20:00Z,chla_rfu,1.12,P
2026-05-15T12:20:00Z,turb_NTU,1.2,P
2026-05-15T12:20:00Z,X_72255,0.32,P
2026-05-15T12:30:00Z,temp_C,7.8,P
2026-05-15T12:30:00Z,flow_cfs,177,P
2026-05-15T12:30:00Z,gauge_ht_ft,8.65,P
2026-05-15T12:30:00Z,specCond_uscm,56,P
2026-05-15T12:30:00Z,pH,7.7,P
2026-05-15T12:30:00Z,chla_rfu,1.23,P
2026-05-15T12:30:00Z,turb_NTU,1.2,P
2026-05-15T12:30:00Z,X_72255,0.32,P
2026-05-15T12:40:00Z,temp_C,7.8,P
2026-05-15T12:40:00Z,flow_cfs,166,P
2026-05-15T12:40:00Z,gauge_ht_ft,8.65,P
2026-05-15T12:40:00Z,specCond_uscm,56,P
2026-05-15T12:40:00Z,pH,7.7,P
2026-05-15T12:40:00Z,chla_rfu,1.17,P
2026-05-15T12:40:00Z,turb_NTU,1.2,P
2026-05-15T12:40:00Z,X_72255,0.3,P
2026-05-15T12:50:00Z,temp_C,7.8,P
2026-05-15T12:50:00Z,flow_cfs,166,P
2026-05-15T12:50:00Z,gauge_ht_ft,8.65,P
2026-05-15T12:50:00Z,specCond_uscm,55,P
2026-05-15T12:50:00Z,pH,7.7,P
2026-05-15T12:50:00Z,chla_rfu,1.27,P
2026-05-15T12:50:00Z,turb_NTU,1.2,P
2026-05-15T12:50:00Z,X_72255,0.3,P
2026-05-15T13:00:00Z,temp_C,7.9,P
2026-05-15T13:00:00Z,flow_cfs,154,P
2026-05-15T13:00:00Z,gauge_ht_ft,8.65,P
2026-05-15T13:00:00Z,specCond_uscm,55,P
2026-05-15T13:00:00Z,pH,7.7,P
2026-05-15T13:00:00Z,chla_rfu,1.2,P
2026-05-15T13:00:00Z,turb_NTU,1.1,P
2026-05-15T13:00:00Z,X_72255,0.28,P
2026-05-15T13:10:00Z,temp_C,7.9,P
2026-05-15T13:10:00Z,flow_cfs,154,P
2026-05-15T13:10:00Z,gauge_ht_ft,8.65,P
2026-05-15T13:10:00Z,specCond_uscm,55,P
2026-05-15T13:10:00Z,pH,7.7,P
2026-05-15T13:10:00Z,chla_rfu,1.2,P
2026-05-15T13:10:00Z,turb_NTU,1.2,P
2026-05-15T13:10:00Z,X_72255,0.28,P
2026-05-15T13:20:00Z,temp_C,7.9,P
2026-05-15T13:20:00Z,flow_cfs,143,P
2026-05-15T13:20:00Z,gauge_ht_ft,8.65,P
2026-05-15T13:20:00Z,specCond_uscm,55,P
2026-05-15T13:20:00Z,pH,7.7,P
2026-05-15T13:20:00Z,chla_rfu,1.22,P
2026-05-15T13:20:00Z,turb_NTU,1.1,P
2026-05-15T13:20:00Z,X_72255,0.26,P
2026-05-15T13:30:00Z,temp_C,7.9,P
2026-05-15T13:30:00Z,flow_cfs,131,P
2026-05-15T13:30:00Z,gauge_ht_ft,8.64,P
2026-05-15T13:30:00Z,specCond_uscm,55,P
2026-05-15T13:30:00Z,pH,7.7,P
2026-05-15T13:30:00Z,chla_rfu,0.98,P
2026-05-15T13:30:00Z,turb_NTU,1.2,P
2026-05-15T13:30:00Z,X_72255,0.24,P
2026-05-15T13:40:00Z,temp_C,7.9,P
2026-05-15T13:40:00Z,flow_cfs,103,P
2026-05-15T13:40:00Z,gauge_ht_ft,8.65,P
2026-05-15T13:40:00Z,specCond_uscm,55,P
2026-05-15T13:40:00Z,pH,7.8,P
2026-05-15T13:40:00Z,chla_rfu,1.13,P
2026-05-15T13:40:00Z,turb_NTU,1.2,P
2026-05-15T13:40:00Z,X_72255,0.18,P
2026-05-15T13:50:00Z,temp_C,8,P
2026-05-15T13:50:00Z,flow_cfs,74.5,P
2026-05-15T13:50:00Z,gauge_ht_ft,8.65,P
2026-05-15T13:50:00Z,specCond_uscm,55,P
2026-05-15T13:50:00Z,pH,7.8,P
2026-05-15T13:50:00Z,chla_rfu,1.05,P
2026-05-15T13:50:00Z,turb_NTU,1.2,P
2026-05-15T13:50:00Z,X_72255,0.13,P
2026-05-15T14:00:00Z,temp_C,8,P
2026-05-15T14:00:00Z,flow_cfs,85.8,P
2026-05-15T14:00:00Z,gauge_ht_ft,8.64,P
2026-05-15T14:00:00Z,specCond_uscm,55,P
2026-05-15T14:00:00Z,pH,7.7,P
2026-05-15T14:00:00Z,chla_rfu,1.26,P
2026-05-15T14:00:00Z,turb_NTU,1.2,P
2026-05-15T14:00:00Z,X_72255,0.15,P
2026-05-15T14:10:00Z,temp_C,8,P
